temperature,casual_users,registered_users,season
0.344167,331,654,Spring
0.363478,131,670,Spring
0.196364,120,1229,Spring
0.2,108,1454,Spring
0.226957,82,1518,Spring
0.204348,88,1518,Spring
0.196522,148,1362,Spring
0.165,68,891,Spring
0.138333,54,768,Spring
0.150833,41,1280,Spring
0.169091,43,1220,Spring
0.172727,25,1137,Spring
0.165,38,1368,Spring
0.16087,54,1367,Spring
0.233333,222,1026,Spring
0.231667,251,953,Spring
0.175833,117,883,Spring
0.216667,9,674,Spring
0.292174,78,1572,Spring
0.261667,83,1844,Spring
0.1775,75,1468,Spring
0.0591304,93,888,Spring
0.0965217,150,836,Spring
0.0973913,86,1330,Spring
0.223478,186,1799,Spring
0.2175,34,472,Spring
0.195,15,416,Spring
0.203478,38,1129,Spring
0.196522,123,975,Spring
0.216522,140,956,Spring
0.180833,42,1459,Spring
0.192174,47,1313,Spring
0.26,72,1454,Spring
0.186957,61,1489,Spring
0.211304,88,1620,Spring
0.233333,100,905,Spring
0.285833,354,1269,Spring
0.271667,120,1592,Spring
0.220833,64,1466,Spring
0.134783,53,1552,Spring
0.144348,47,1491,Spring
0.189091,149,1597,Spring
0.2225,288,1184,Spring
0.316522,397,1192,Spring
0.415,208,1705,Spring
0.266087,140,1675,Spring
0.318261,218,1897,Spring
0.435833,259,2216,Spring
0.521667,579,2348,Spring
0.399167,532,1103,Spring
0.285217,639,1173,Spring
0.303333,195,912,Spring
0.182222,74,1376,Spring
0.221739,139,1778,Spring
0.295652,100,1707,Spring
0.364348,120,1341,Spring
0.2825,424,1545,Spring
0.343478,694,1708,Spring
0.407273,81,1365,Spring
0.266667,137,1714,Spring
0.335,231,1903,Spring
0.198333,123,1562,Spring
0.261667,214,1730,Spring
0.384167,640,1437,Spring
0.376522,114,491,Spring
0.261739,244,1628,Spring
0.2925,316,1817,Spring
0.295833,191,1700,Spring
0.389091,46,577,Spring
0.316522,247,1730,Spring
0.329167,724,1408,Spring
0.384348,982,1435,Spring
0.325217,359,1687,Spring
0.317391,289,1767,Spring
0.365217,321,1871,Spring
0.415,424,2320,Spring
0.54,884,2355,Spring
0.4725,1424,1693,Spring
0.3325,1047,1424,Spring
0.430435,401,1676,Summer
0.441667,460,2243,Summer
0.346957,203,1918,Summer
0.285,166,1699,Summer
0.264167,300,1910,Summer
0.265833,981,1515,Summer
0.253043,472,1221,Summer
0.264348,222,1806,Summer
0.3025,317,2108,Summer
0.3,168,1368,Summer
0.268333,179,1506,Summer
0.3,307,1920,Summer
0.315,898,1354,Summer
0.378333,1651,1598,Summer
0.573333,734,2381,Summer
0.414167,167,1628,Summer
0.390833,413,2395,Summer
0.4375,571,2570,Summer
0.335833,172,1299,Summer
0.3425,879,1576,Summer
0.426667,1188,1707,Summer
0.595652,855,2493,Summer
0.5025,257,1777,Summer
0.4125,209,1953,Summer
0.4675,529,2738,Summer
0.446667,642,2484,Summer
0.430833,121,674,Summer
0.456667,1558,2186,Summer
0.5125,669,2760,Summer
0.505833,409,2795,Summer
0.595,613,3331,Summer
0.459167,745,3444,Summer
0.336667,177,1506,Summer
0.46,1462,2574,Summer
0.581667,1710,2481,Summer
0.606667,773,3300,Summer
0.631667,678,3722,Summer
0.62,547,3325,Summer
0.6175,569,3489,Summer
0.51,878,3717,Summer
0.4725,1965,3347,Summer
0.451667,1138,2213,Summer
0.549167,847,3554,Summer
0.616667,603,3848,Summer
0.414167,255,2378,Summer
0.459167,614,3819,Summer
0.479167,894,3714,Summer
0.52,1612,3102,Summer
0.528333,1401,2932,Summer
0.5325,664,3698,Summer
0.5325,694,4109,Summer
0.5425,550,3632,Summer
0.535,695,4169,Summer
0.5125,692,3413,Summer
0.520833,902,2507,Summer
0.5625,1582,2971,Summer
0.5775,773,3185,Summer
0.561667,678,3445,Summer
0.55,536,3319,Summer
0.530833,735,3840,Summer
0.536667,909,4008,Summer
0.6025,2258,3547,Summer
0.604167,1576,3084,Summer
0.631667,836,3438,Summer
0.66,659,3833,Summer
0.660833,740,4238,Summer
0.708333,758,3919,Summer
0.681667,871,3808,Summer
0.655833,2001,2757,Summer
0.6675,2355,2433,Summer
0.733333,1549,2549,Summer
0.775,673,3309,Summer
0.764167,513,3461,Summer
0.715,736,4232,Summer
0.62,898,4414,Summer
0.635,1869,3473,Summer
0.648333,1685,3221,Summer
0.678333,673,3875,Summer
0.7075,763,4070,Summer
0.775833,676,3725,Summer
0.808333,563,3352,Summer
0.755,815,3771,Summer
0.725,1729,3237,Summer
0.6925,1467,2993,Summer
0.635,863,4157,Summer
0.604167,727,4164,Summer
0.626667,769,4411,Summer
0.628333,545,3222,Summer
0.649167,863,3981,Summer
0.696667,1807,3312,Summer
0.699167,1639,3105,Summer
0.635,699,3311,Summer
0.680833,774,4061,Fall
0.733333,661,3846,Fall
0.728333,746,4044,Fall
0.724167,969,4022,Fall
0.695,1782,3420,Fall
0.68,1920,3385,Fall
0.6825,854,3854,Fall
0.744167,732,3916,Fall
0.728333,848,4377,Fall
0.696667,1027,4488,Fall
0.7225,1246,4116,Fall
0.738333,2204,2915,Fall
0.716667,2282,2367,Fall
0.726667,3065,2978,Fall
0.746667,1031,3634,Fall
0.72,784,3845,Fall
0.75,754,3838,Fall
0.709167,692,3348,Fall
0.733333,1988,3348,Fall
0.7475,1743,3138,Fall
0.7625,723,3363,Fall
0.794167,662,3596,Fall
0.746667,748,3594,Fall
0.680833,888,4196,Fall
0.663333,1318,4220,Fall
0.686667,2418,3505,Fall
0.719167,2006,3296,Fall
0.746667,841,3617,Fall
0.776667,752,3789,Fall
0.768333,644,3688,Fall
0.815,632,3152,Fall
0.848333,562,2825,Fall
0.849167,987,2298,Fall
0.83,1050,2556,Fall
0.743333,568,3272,Fall
0.771667,750,3840,Fall
0.775,755,3901,Fall
0.779167,606,3784,Fall
0.838333,670,3176,Fall
0.804167,1559,2916,Fall
0.805833,1524,2778,Fall
0.771667,729,3537,Fall
0.783333,801,4044,Fall
0.731667,467,3107,Fall
