"Station Name","WHISTLER ROUNDHOUSE"
"Province","BRITISH COLUMBIA"
"Latitude","50.07"
"Longitude","-122.95"
"Elevation","1835.00"
"Climate Identifier","1108906"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"A","Accumulated"
"C","Precipitation occurred, amount uncertain"
"E","Estimated"
"F","Accumulated and estimated"
"L","Precipitation may or may not have occurred"
"M","Missing"
"N","Temperature missing but known to be > 0"
"S","More than one occurrence"
"T","Trace"
"Y","Temperature missing but known to be < 0"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"
"†","Data that is not subject to review by the National Climate Archives"

"Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"2017-01-01","2017","01","01","†","-14.0","","-16.5","","-15.3","","33.3","","0.0","","0.0","","0.0","","0.0","","203","","","","",""
"2017-01-02","2017","01","02","†","-18.0","","-21.0","","-19.5","","37.5","","0.0","","0.0","","0.0","","0.0","","199","","","","",""
"2017-01-03","2017","01","03","†","-14.5","","-21.5","","-18.0","","36.0","","0.0","","0.0","","0.0","","0.0","","195","","","","",""
"2017-01-04","2017","01","04","†","-8.0","","-18.0","","-13.0","","31.0","","0.0","","0.0","","0.0","","0.0","","190","","","","",""
"2017-01-05","2017","01","05","†","-6.5","","-11.0","","-8.8","","26.8","","0.0","","0.0","","1.0","","1.0","","187","","","","",""
"2017-01-06","2017","01","06","†","-8.5","","-10.5","","-9.5","","27.5","","0.0","","0.0","","4.0","","4.0","","184","","","","",""
"2017-01-07","2017","01","07","†","-3.5","","-12.0","","-7.8","","25.8","","0.0","","0.0","","0.0","","0.0","","185","","","","",""
"2017-01-08","2017","01","08","†","-1.0","","-10.0","","-5.5","","23.5","","0.0","","0.0","","15.0","","15.0","","182","","","","",""
"2017-01-09","2017","01","09","†","-6.0","","-8.5","","-7.3","","25.3","","0.0","","0.0","","3.0","","3.0","","193","","","","",""
"2017-01-10","2017","01","10","†","-15.0","","-18.0","","-16.5","","34.5","","0.0","","0.0","","0.0","T","0.0","T","189","","","","",""
"2017-01-11","2017","01","11","†","-6.0","","-18.5","","-12.3","","30.3","","0.0","","0.0","","0.0","","0.0","","188","","","","",""
"2017-01-12","2017","01","12","†","-5.5","","-10.5","","-8.0","","26.0","","0.0","","0.0","","0.0","","0.0","","185","","","","",""
"2017-01-13","2017","01","13","†","-1.5","","-11.0","","-6.3","","24.3","","0.0","","0.0","","0.0","","0.0","","182","","","","",""
"2017-01-14","2017","01","14","†","0.0","","-4.5","","-2.3","","20.3","","0.0","","0.0","","0.0","","0.0","","180","","","","",""
"2017-01-15","2017","01","15","†","0.0","","-3.0","","-1.5","","19.5","","0.0","","0.0","","0.0","T","0.0","T","178","","","","",""
"2017-01-16","2017","01","16","†","2.0","","-3.5","","-0.8","","18.8","","0.0","","30.0","","8.0","","38.0","","177","","","","",""
"2017-01-17","2017","01","17","†","0.5","","-2.5","","-1.0","","19.0","","0.0","","0.0","","39.0","","39.0","","181","","","","",""
"2017-01-18","2017","01","18","†","-0.5","","-1.5","","-1.0","","19.0","","0.0","","0.0","","37.0","","37.0","","214","","","","",""
"2017-01-19","2017","01","19","†","-3.0","","-4.5","","-3.8","","21.8","","0.0","","0.0","","14.0","","14.0","","240","","","","",""
"2017-01-20","2017","01","20","†","-4.5","","-5.5","","-5.0","","23.0","","0.0","","0.0","","1.0","","1.0","","239","","","","",""
"2017-01-21","2017","01","21","†","-4.0","","-6.5","","-5.3","","23.3","","0.0","","0.0","","5.0","","5.0","","232","","","","",""
"2017-01-22","2017","01","22","†","-4.0","","-6.0","","-5.0","","23.0","","0.0","","0.0","","0.0","T","0.0","T","231","","","","",""
"2017-01-23","2017","01","23","†","-3.0","","-7.5","","-5.3","","23.3","","0.0","","0.0","","0.0","","0.0","","229","","","","",""
"2017-01-24","2017","01","24","†","-5.0","","-9.0","","-7.0","","25.0","","0.0","","0.0","","0.0","","0.0","","220","","","","",""
"2017-01-25","2017","01","25","†","-5.0","","-8.5","","-6.8","","24.8","","0.0","","0.0","","0.0","","0.0","","220","","","","",""
"2017-01-26","2017","01","26","†","-2.0","","-10.0","","-6.0","","24.0","","0.0","","0.0","","0.0","","0.0","","216","","","","",""
"2017-01-27","2017","01","27","†","-1.5","","-5.5","","-3.5","","21.5","","0.0","","0.0","","0.0","","0.0","","212","","","","",""
"2017-01-28","2017","01","28","†","1.0","","-4.5","","-1.8","","19.8","","0.0","","0.0","","0.0","","0.0","","210","","","","",""
"2017-01-29","2017","01","29","†","0.0","","-5.0","","-2.5","","20.5","","0.0","","0.0","","5.0","","5.0","","208","","","","",""
"2017-01-30","2017","01","30","†","-6.0","","-10.0","","-8.0","","26.0","","0.0","","0.0","","0.0","","0.0","","210","","","","",""
"2017-01-31","2017","01","31","†","-12.0","","-15.0","","-13.5","","31.5","","0.0","","0.0","","0.0","","0.0","","208","","","","",""
"2017-02-01","2017","02","01","†","-11.0","","-17.5","","-14.3","","32.3","","0.0","","0.0","","0.0","","0.0","","208","","","","",""
"2017-02-02","2017","02","02","†","-4.5","","-17.0","","-10.8","","28.8","","0.0","","0.0","","0.0","","0.0","","208","","","","",""
"2017-02-03","2017","02","03","†","-4.5","","-12.0","","-8.3","","26.3","","0.0","","0.0","","28.0","","28.0","","208","","","","",""
