"Station Name","WHISTLER ROUNDHOUSE"
"Province","BRITISH COLUMBIA"
"Current Station Operator","Co-operative Climate Network"
"Latitude","50.07"
"Longitude","-122.95"
"Elevation","1835.00"
"Climate Identifier","1108906"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"A","Accumulated"
"C","Precipitation occurred, amount uncertain"
"E","Estimated"
"F","Accumulated and estimated"
"L","Precipitation may or may not have occurred"
"M","Missing"
"N","Temperature missing but known to be > 0"
"S","More than one occurrence"
"T","Trace"
"Y","Temperature missing but known to be < 0"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"
"†","Data that is not subject to review by the National Climate Archives"

"Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"2018-01-01","2018","01","01","†","6.0","","-6.0","","0.0","","18.0","","0.0","","0.0","","0.0","","0.0","","187","","","","",""
"2018-01-02","2018","01","02","†","5.5","","0.0","","2.8","","15.2","","0.0","","0.0","","0.0","","0.0","","183","","","","",""
"2018-01-03","2018","01","03","†","6.0","","0.0","","3.0","","15.0","","0.0","","0.0","","0.0","","0.0","","180","","","","",""
"2018-01-04","2018","01","04","†","5.0","","1.5","","3.3","","14.7","","0.0","","2.5","","0.0","","2.5","","179","","","","",""
"2018-01-05","2018","01","05","†","3.0","","0.5","","1.8","","16.2","","0.0","","13.4","","0.0","T","13.4","","175","","","","",""
"2018-01-06","2018","01","06","†","0.0","","-3.0","","-1.5","","19.5","","0.0","","0.0","","2.0","","2.0","","169","","","","",""
"2018-01-07","2018","01","07","†","0.0","","-5.5","","-2.8","","20.8","","0.0","","0.0","","10.0","","10.0","","169","","","","",""
"2018-01-08","2018","01","08","†","-0.5","","-4.0","","-2.3","","20.3","","0.0","","0.0","","13.0","","13.0","","178","","","","",""
"2018-01-09","2018","01","09","†","-3.0","","-4.0","","-3.5","","21.5","","0.0","","0.0","","1.0","","1.0","","188","","","","",""
"2018-01-10","2018","01","10","†","-6.0","","-8.0","","-7.0","","25.0","","0.0","","0.0","","1.0","","1.0","","188","","","","",""
"2018-01-11","2018","01","11","†","-1.0","","-8.0","","-4.5","","22.5","","0.0","","0.0","","1.0","","1.0","","186","","","","",""
"2018-01-12","2018","01","12","†","0.0","","-7.0","","-3.5","","21.5","","0.0","","0.0","","9.0","","9.0","","184","","","","",""
"2018-01-13","2018","01","13","†","6.0","","-3.0","","1.5","","16.5","","0.0","","0.0","","0.0","T","0.0","T","189","","","","",""
"2018-01-14","2018","01","14","†","11.0","","2.0","","6.5","","11.5","","0.0","","0.0","","0.0","","0.0","","185","","","","",""
"2018-01-15","2018","01","15","†","7.0","","5.0","","6.0","","12.0","","0.0","","5.7","","1.0","","6.7","","184","","","","",""
"2018-01-16","2018","01","16","†","-0.5","","-4.0","","-2.3","","20.3","","0.0","","0.0","","26.0","","26.0","","183","","","","",""
"2018-01-17","2018","01","17","†","-0.5","","-4.0","","-2.3","","20.3","","0.0","","0.0","","29.0","","29.0","","205","","","","",""
"2018-01-18","2018","01","18","†","-4.0","","-5.5","","-4.8","","22.8","","0.0","","0.0","","10.0","","10.0","","225","","","","",""
"2018-01-19","2018","01","19","†","-4.0","","-6.0","","-5.0","","23.0","","0.0","","0.0","","5.0","","5.0","","232","","","","",""
"2018-01-20","2018","01","20","†","-4.0","","-7.5","","-5.8","","23.8","","0.0","","0.0","","60.0","","60.0","","230","","","","",""
"2018-01-21","2018","01","21","†","-3.0","","-6.0","","-4.5","","22.5","","0.0","","0.0","","31.0","","31.0","","279","","","","",""
"2018-01-22","2018","01","22","†","-4.5","","-7.0","","-5.8","","23.8","","0.0","","0.0","","8.0","","8.0","","279","","","","",""
"2018-01-23","2018","01","23","†","-3.0","","-7.0","","-5.0","","23.0","","0.0","","0.0","","16.0","","16.0","","271","","","","",""
"2018-01-24","2018","01","24","†","-2.5","","-5.0","","-3.8","","21.8","","0.0","","0.0","","40.0","","40.0","","274","","","","",""
"2018-01-25","2018","01","25","†","-7.0","","-9.0","","-8.0","","26.0","","0.0","","0.0","","15.0","","15.0","","194","","","","",""
"2018-01-26","2018","01","26","†","-6.0","","-9.0","","-7.5","","25.5","","0.0","","0.0","","24.0","","24.0","","295","","","","",""
"2018-01-27","2018","01","27","†","-5.5","","-10.5","","-8.0","","26.0","","0.0","","0.0","","13.0","","13.0","","302","","","","",""
