time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2021-03-23T15:09:54.087Z,5.6952,127.1544,59.46,4.4,mb,,117,2.077,0.7,us,us6000dvri,2021-03-23T16:02:54.040Z,"130 km SE of Pondaguitan, Philippines",earthquake,8.2,8.1,0.117,21,reviewed,us,us
2021-03-23T14:48:29.720Z,45.426,-117.561666666667,6.56,2.67,ml,12,139,0.5954,0.32,uw,uw61719371,2021-03-23T16:19:38.340Z,"12 km WSW of Lostine, Oregon",earthquake,0.87,4.48,0.364970179273477,10,reviewed,uw,uw
2021-03-23T14:46:55.949Z,46.7055,108.0575,10,4.7,mb,,117,1.346,0.53,us,us6000dvrg,2021-03-23T16:14:33.790Z,"44 km NNW of Choyr, Mongolia",earthquake,11,2,0.11,25,reviewed,us,us
2021-03-23T14:08:53.187Z,79.5741,3.6721,10,5.4,mww,,42,1.686,1.1,us,us6000dvpp,2021-03-23T16:14:47.720Z,"297 km WNW of Longyearbyen, Svalbard and Jan Mayen",earthquake,7.4,1.8,0.066,22,reviewed,us,us
2021-03-23T13:54:39.500Z,36.7291679,-120.7668304,0.69,2.77,md,39,109,0.06922,0.21,nc,nc73538866,2021-03-23T15:37:07.578Z,"28km SSW of South Dos Palos, CA",earthquake,0.63,2.48,0.17,41,automatic,nc,nc
2021-03-23T13:35:10.870Z,31.66184929,-104.3678757,7.031347656,2.8,ml,31,61,0.1135023352,0.3,tx,tx2021ftaq,2021-03-23T14:06:16.040Z,"56 km S of Whites City, New Mexico",earthquake,1.206416879,1.645120223,0.1,17,reviewed,tx,tx
2021-03-23T13:10:37.508Z,31.66048739,-104.3651727,6.465771484,2.6,ml,26,61,0.1158913119,0.3,tx,tx2021fszw,2021-03-23T13:47:32.040Z,"57 km S of Whites City, New Mexico",earthquake,1.11747031,1.322857452,0.1,12,reviewed,tx,tx
2021-03-23T13:01:20.241Z,-2.062,139.394,35,4.8,mb,,63,7.189,0.6,us,us6000dvpg,2021-03-23T13:23:39.040Z,"149 km WNW of Abepura, Indonesia",earthquake,9.5,2,0.088,40,reviewed,us,us
2021-03-23T12:40:05.755Z,-14.4676,166.7724,10,5,mb,,30,1.059,0.64,us,us6000dvpd,2021-03-23T12:59:44.040Z,"71 km NNW of Port-Olry, Vanuatu",earthquake,7.2,1.9,0.066,73,reviewed,us,us
2021-03-23T12:34:22.160Z,19.0116,-66.5776,36,3.08,md,11,277,0.5367,0.41,pr,pr2021082002,2021-03-23T13:02:04.341Z,"61 km NNE of Arecibo, Puerto Rico",earthquake,2,6.6,0.13,9,reviewed,pr,pr
2021-03-23T12:06:47.217Z,33.7453,48.5765,10,4.3,mb,,46,2.103,0.58,us,us6000dvp9,2021-03-23T13:51:08.040Z,"23 km SW of Borūjerd, Iran",earthquake,5.7,1.9,0.083,41,reviewed,us,us
2021-03-23T09:39:10.620Z,38.1505,-118.2213,14.5,2.6,ml,39,42.52,0.13,0.14,nn,nn00803219,2021-03-23T11:13:12.942Z,"28 km SSW of Mina, Nevada",earthquake,,1.4,,,automatic,nn,nn
2021-03-23T09:00:37.860Z,38.1567,-117.9958,14.7,2.6,ml,34,42.17,0.098,0.07,nn,nn00803211,2021-03-23T09:25:31.040Z,"27 km SSE of Mina, Nevada",earthquake,,0.8,,,automatic,nn,nn
2021-03-23T07:39:58.168Z,-50.355,112.5851,10,5,mb,,93,16.006,0.79,us,us6000dvn9,2021-03-23T08:05:14.040Z,"southeast Indian Ridge",earthquake,8,1.8,0.121,22,reviewed,us,us
2021-03-23T07:04:00.950Z,38.2063,-117.7537,10.7,2.7,ml,38,60.29,0.018,0.1,nn,nn00803201,2021-03-23T13:09:42.040Z,"Nevada",earthquake,,1.3,,,automatic,nn,nn
2021-03-23T06:43:01.150Z,-9.7741,-78.5848,59.63,4.6,mb,,164,2.787,1.17,us,us6000dvn0,2021-03-23T11:34:02.049Z,"40 km SSW of Puerto Casma, Peru",earthquake,7.5,7.5,0.05,122,reviewed,us,us
2021-03-23T04:13:05.269Z,35.3575,-97.92833333,6.46,2.6,ml,82,35,0.106179164,0.21,ok,ok2021fsic,2021-03-23T14:32:07.880Z,"3 km SSE of Union City, Oklahoma",earthquake,,0.4,0.25,25,reviewed,ok,ok
2021-03-23T03:59:57.166Z,65.3513,-162.6208,4.1,2.8,ml,,,,0.67,ak,ak0213ro7iys,2021-03-23T04:05:11.327Z,"80 km S of Deering, Alaska",earthquake,,0.4,,,automatic,ak,ak
2021-03-23T03:05:15.094Z,56.6376,-154.9817,54.5,2.5,ml,,,,0.52,ak,ak0213rnvv1x,2021-03-23T03:09:25.561Z,"60 km SW of Akhiok, Alaska",earthquake,,2,,,automatic,ak,ak
2021-03-23T02:48:43.393Z,7.3858,-71.8728,28.76,4.8,mb,,93,1.928,0.6,us,us6000dvlv,2021-03-23T07:21:49.961Z,"49 km NNE of Cubará, Colombia",earthquake,7.2,5.7,0.033,291,reviewed,us,us
2021-03-23T02:01:39.687Z,-20.2656,-178.0191,556.6,4.4,mb,,127,4.483,0.66,us,us6000dvll,2021-03-23T02:16:45.040Z,"Fiji region",earthquake,11.2,10.3,0.1,29,reviewed,us,us
2021-03-23T01:49:56.017Z,31.6709412,-104.3082024,6.260107422,3,ml,14,56,0.1034947771,0.3,tx,tx2021fsdk,2021-03-23T16:16:33.914Z,"56 km S of Whites City, New Mexico",earthquake,2.653655848,2.591583003,0.1,7,reviewed,tx,tx
2021-03-23T01:49:28.893Z,31.65999792,-104.2930438,6.877099609,3.1,ml,33,58,0.114519451,0.3,tx,tx2021fsdj,2021-03-23T15:39:06.471Z,"57 km S of Whites City, New Mexico",earthquake,1.185527032,1.60690017,0.1,21,reviewed,tx,tx
2021-03-23T01:47:08.219Z,-19.6704,-174.9809,170,4.6,mb,,154,6.874,0.68,us,us6000dvlf,2021-03-23T02:03:27.040Z,"67 km WNW of Pangai, Tonga",earthquake,9.6,2,0.099,30,reviewed,us,us
2021-03-23T00:49:47.550Z,32.649,-117.3093333,17.55,2.53,ml,41,226,0.1147,0.13,ci,ci39587799,2021-03-23T16:06:36.942Z,"12km WSW of Coronado, CA",earthquake,0.35,0.42,0.151,86,reviewed,ci,ci
