ARRIVAL_DELAY,DEPARTURE_DELAY
-10,-4
2,-5
-21,-4
-21,-3
-9,6
-13,-2
-6,-9
-19,2
-10,-4
-26,-4
-11,-3
-5,3
-8,-4
2,0
-22,-2
-21,-6
-23,-8
13,9
-3,-4
-17,-5
-24,-7
-20,-4
-13,-2
-11,-5
2,19
-12,-3
2,-5
-16,1
-16,-4
13,0
10,-7
5,-1
-37,-10
-7,-3
131,133
-10,-4
-6,0
-19,-2
-1,-5
-27,9
-27,-2
-25,-4
4,0
-13,1
-22,-6
-4,-7
11,-6
-10,9
-4,-3
-2,-5
2,-6
-19,-8
-1,-1
4,-4
27,2
11,4
-8,-1
4,8
-27,-5
-21,-6
-15,-3
-15,-2
28,7
7,-3
37,38
-20,-5
51,-5
-5,-6
3,14
-28,-7
-5,-6
-7,-1
-11,2
1,3
-14,-2
-16,3
14,-4
-16,-10
-30,-12
29,47
-5,-1
-12,-8
2,4
14,4
-14,-8
-4,-8
-30,-1
-18,-10
2,-8
99,88
-16,-4
-4,-3
-34,0
-18,-6
-10,-1
192,175
-14,-4
-12,-1
-14,-3
-4,5
-5,17
-3,8
1,-1
-15,1
10,-4
-15,-6
-9,-5
17,-3
16,10
-9,-2
-15,-6
-21,-8
13,-2
-8,-6
-4,6
12,-3
-7,-2
23,0
3,-3
2,-7
-15,-2
-21,-5
-2,-1
-6,0
-16,-8
1201,1190
28,24
-20,-1
6,1
-22,-1
-7,5
-10,-6
-8,-14
-26,-10
143,152
-11,-4
-10,3
-17,-6
-6,-6
-19,-2
-2,1
1,2
-21,-3
-11,-10
27,-4
-19,0
8,-1
17,13
-21,-10
-22,0
-17,-11
-16,-6
-5,-2
59,73
0,7
-5,-1
-13,-4
-8,-2
4,-2
10,-6
19,7
15,4
-4,-4
30,4
-11,-3
13,18
14,7
90,94
-16,-6
-6,-8
18,0
31,3
3,10
10,7
-9,-6
3,-5
-4,1
53,68
7,-10
-18,-5
14,4
3,-4
53,53
6,0
153,137
0,12
0,-3
2,31
-16,-10
26,37
-14,-5
26,38
17,-1
-8,-3
5,6
37,48
-11,-8
10,-5
-16,-6
13,-2
14,20
-13,-6
10,16
9,-2
36,-2
-12,-5
23,-9
16,0
-11,-7
16,23
-7,-5
5,2
-17,-12
-12,-2
20,16
-10,-8
5,-1
-3,3
-8,-1
26,4
2,-3
25,9
6,-2
2,-3
71,59
-12,-5
-5,8
-4,-6
-3,-8
0,-8
-6,-1
7,-9
55,68
-23,-2
-32,-6
-3,0
10,-7
-8,-5
10,-8
0,-6
-15,-4
28,-9
1,-5
-9,-10
-4,-2
-8,1
-7,-3
38,-4
16,0
9,-4
-5,-8
-4,4
-3,-4
16,-2
-4,-4
10,0
6,-2
-15,-7
-25,-10
-2,-5
24,-6
22,1
-5,-7
-11,-3
65,74
-6,-5
-10,-2
-10,-8
-9,-2
-6,-2
44,50
0,0
0,-1
15,0
35,17
-21,-6
-10,-5
26,-5
5,-6
-14,-8
-7,-3
3,-2
11,-2
21,4
0,-6
12,-4
-2,2
9,-1
0,-6
-35,-5
-3,-1
2,-4
-15,-4
-3,12
34,-5
-15,-4
-8,-5
-13,-9
-2,-2
9,-7
10,23
194,194
-18,-9
36,-3
-30,-14
13,1
16,-1
-18,-10
14,-3
6,-7
-3,0
28,1
-3,8
2,4
-19,-5
-14,-3
-7,-2
7,-3
-11,-4
-9,-2
0,-2
-16,-6
-10,-6
8,-1
26,33
2,-4
18,-3
7,0
-9,3
-11,-7
4,-4
12,1
-12,-6
-9,-6
-13,10
17,-2
-14,-4
-10,-7
15,2
9,-2
-10,-4
21,5
-3,-7
-10,-9
-37,-13
-9,-1
-6,-5
20,-4
-17,-8
-10,-8
-8,-7
-11,-2
15,10
2,-5
27,3
-8,-6
-9,-6
13,-1
44,11
7,-10
-18,-10
-8,-9
-1,-6
2,-4
55,49
-11,-8
5,-5
15,5
-2,-4
9,-4
-12,-9
-11,-8
9,-4
-8,-4
0,-5
-14,-10
6,-13
-23,-9
-1,-1
-6,-2
-8,4
-9,-4
8,-5
-3,-2
-9,0
4,-5
-13,-7
4,20
-32,-9
12,6
-11,-6
-11,-4
-6,-2
3,-1
-10,-3
3,-6
-16,-11
-9,-6
5,20
-12,-8
-8,0
-17,-9
-12,-8
-2,-4
-18,-7
-8,-2
-5,7
-5,-2
13,10
-9,-4
-21,-9
-15,-2
10,-1
-13,-4
-3,8
-5,-1
16,9
-7,-1
-2,-2
-21,-5
27,18
-12,-7
-1,-5
1,-2
1,-1
-6,-4
9,9
4,3
-2,-1
70,69
32,16
9,2
-4,-3
5,3
-4,-6
5,3
5,17
6,-6
-12,-5
-17,-11
12,-8
24,7
72,59
-9,-10
-21,-1
-5,8
42,43
-13,-4
7,2
40,16
17,19
-14,-3
-8,-3
61,69
-21,-1
-19,-7
-11,-6
65,56
78,75
41,15
-2,7
13,8
-3,-3
13,12
1,-5
0,4
5,-7
2,-2
-16,-4
-14,-9
-12,-4
8,6
-8,-4
29,18
21,20
34,6
-6,-10
40,0
-17,0
27,14
12,-6
-4,6
136,129
-1,-6
-5,-11
10,-4
-4,-8
-1,-1
-3,-12
15,2
39,38
40,54
-9,-7
-2,-11
3,-10
1,3
-5,-9
-3,-2
-4,-3
17,2
42,47
22,0
-10,-2
-2,-5
28,34
-4,-7
-7,-6
7,2
-1,-2
-20,-1
8,29
7,-7
-8,-9
-9,-4
-12,-5
-24,-8
-6,-2
46,51
-7,4
-13,-1
5,-4
-15,-10
12,-5
-8,-9
6,8
27,6
17,3
-1,-1
3,-3
-8,-4
-12,-5
-3,-10
8,-1
2,-9
-20,-11
-16,-3
-17,-6
30,-2
-2,-5
-10,-1
-25,-4
2,-3
35,45
-33,-1
8,16
-6,-4
12,-1
14,0
-16,-2
7,-6
-13,-3
66,44
3,0
-13,-4
3,-7
-13,-2
-19,2
-18,-6
34,0
1,1
21,-3
11,-1
1,16
-20,-9
-13,0
1,-8
3,-3
-9,0
-5,-6
-12,0
-17,-10
-12,-5
-8,-6
30,-3
-15,-6
-19,-1
-16,-5
45,41
-22,-5
-2,1
22,7
20,1
-12,-1
6,4
10,-4
-8,24
12,37
7,3
-7,-1
-23,-6
1,-1
-16,-3
-13,-3
-10,-3
138,157
-8,-6
-23,-5
11,13
-9,1
-27,-2
4,-3
-14,3
-5,-8
-3,12
-10,-3
16,23
-11,-5
-6,-3
-29,-7
0,11
-11,-3
9,13
-13,-4
-18,-2
7,14
-7,8
18,-7
20,-3
6,15
3,4
0,4
-9,-7
40,54
17,10
-7,1
9,18
82,78
-7,7
33,14
16,19
8,-5
-4,-8
64,71
-8,-4
-30,-7
-5,7
119,123
-16,-3
63,65
14,37
-1,6
-16,-10
-12,-6
284,261
-17,-5
-3,5
2,-7
-7,-4
46,23
102,83
92,103
-12,12
-12,-4
7,25
36,37
-9,-2
-15,0
-14,1
24,12
29,30
-12,0
1,-3
12,10
-10,0
-7,0
69,56
26,16
3,12
14,8
-1,-3
56,48
144,118
-13,0
59,38
-10,-1
2,-3
17,-3
2,-5
41,13
317,304
100,78
32,2
77,-5
4,1
-15,5
87,14
11,3
25,26
42,14
-16,-7
49,5
19,-3
25,18
108,93
46,7
16,-10
258,227
22,18
49,23
58,31
101,45
-5,-2
12,-3
110,99
126,101
123,69
63,58
51,34
52,31
67,11
32,-2
125,49
205,92
42,17
101,32
107,54
66,6
69,43
70,42
200,211
213,221
186,193
211,190
113,80
182,170
189,193
116,45
231,231
198,169
114,43
160,170
166,123
129,110
106,83
108,86
72,54
28,-4
96,78
66,46
17,38
2,6
514,510
23,-4
-10,-1
-1,-4
2,-5
-18,-1
-1,0
-10,-3
-6,-4
-1,1
145,132
1,-1
14,-3
44,48
1,9
7,19
-1,11
7,-5
-6,-1
-5,0
-8,6
-11,1
4,-3
10,-2
-19,-2
5,-7
0,-3
-22,-4
-9,-3
6,-5
-4,-4
-4,8
31,19
36,16
-7,-1
-23,-1
0,4
18,6
-7,0
4,-4
-23,-5
49,26
-12,-6
-4,-2
-4,12
-10,0
9,0
15,-2
6,0
12,-5
-5,-1
0,-2
7,-3
-19,10
-7,12
-2,-2
10,3
0,4
7,10
120,95
-9,-10
2,-6
15,-4
7,-6
1,1
12,5
4,-6
-5,1
-10,-3
-14,-14
-10,-6
6,0
19,-8
6,7
10,-1
13,6
9,19
32,24
-18,-7
-23,-3
32,17
-18,-4
-10,1
12,17
61,19
-1,-5
3,-5
21,23
81,94
4,-2
-1,-2
2,0
-18,-3
21,31
-11,-6
61,32
-11,-4
-22,0
13,-3
-3,-7
41,45
-7,0
-10,1
20,-1
42,21
-8,-6
14,-7
-11,0
-5,0
-12,-1
36,10
-11,-9
45,10
-8,1
46,12
41,-11
-9,0
-3,-1
24,-1
0,1
10,16
100,82
-11,-8
-5,1
12,0
38,15
39,38
30,37
-4,-3
41,-1
14,-6
0,-5
106,49
19,-1
38,-8
-1,-8
24,-4
60,31
6,2
0,-1
4,6
2,-3
-3,-3
39,17
10,16
3,-3
127,117
-4,-3
28,11
26,28
11,-1
-6,10
17,4
-20,-4
-17,-8
53,29
51,55
-9,-1
0,7
-15,-7
140,116
20,33
9,-3
153,118
5,0
19,23
53,33
259,271
10,17
-10,-3
82,59
1,25
-9,7
97,80
27,14
97,74
5,-3
12,-4
2,0
110,96
22,-4
33,-2
32,25
22,0
3,7
-2,-4
-8,0
20,1
2,-3
32,12
24,6
77,42
79,43
21,-1
11,8
25,8
23,1
207,231
34,3
120,123
21,14
33,12
19,-6
26,20
147,120
36,34
25,9
166,135
50,81
5,-2
15,-7
13,2
13,5
36,42
14,5
-5,7
41,42
32,39
7,-2
14,-5
-4,-1
115,102
25,-3
82,81
36,20
140,139
3,32
64,71
104,85
48,35
55,58
-4,-5
51,37
34,37
1,-4
155,146
41,47
29,21
42,38
39,-1
48,27
13,0
127,127
2,3
35,-2
60,42
41,29
67,41
25,11
40,57
60,29
36,25
21,9
47,40
192,184
49,-1
34,15
-8,-10
16,-4
21,13
3,-5
22,13
15,13
57,70
99,78
-1,10
54,23
53,33
32,41
137,80
-2,-6
60,53
72,66
36,22
16,-6
39,-7
56,43
29,12
46,42
-5,5
41,-1
9,-7
27,9
-2,-6
-8,-6
-15,-9
-3,-3
79,81
-11,-9
-2,-2
-11,1
-12,-1
8,-5
-6,-2
9,0
-6,-8
-25,3
6,26
6,-6
-7,-5
-20,-4
-8,1
-9,-2
11,-2
-20,-3
26,-9
-7,-5
10,-5
7,-4
-5,-8
-7,-1
1,-3
10,-4
3,-4
103,108
-17,-7
-1,-1
4,-1
-22,-2
-19,-1
1,-3
4,2
6,-5
73,80
-13,-4
-4,7
2,-3
24,22
-21,-2
88,70
33,0
9,-6
19,-3
-5,-5
23,-1
-18,-2
8,-4
2,-7
-7,-2
22,6
5,2
18,13
24,-8
12,-6
-1,-4
9,-4
5,-1
-4,-7
-7,4
-15,-4
-4,0
6,5
-11,-3
-6,-7
10,36
15,-3
7,-7
71,67
-11,-2
20,2
12,-6
37,1
18,-3
60,32
-15,-5
13,-3
-3,-9
-16,2
27,2
7,6
33,0
2,-2
15,-4
17,-5
0,-4
-29,-13
-21,4
-1,0
-3,2
6,0
13,-4
61,50
16,-6
71,54
4,2
2,-5
62,7
-6,-3
-9,5
-5,-2
-2,0
-2,-6
39,10
-4,-6
-6,-6
7,-7
-11,1
0,-2
-3,-5
27,11
24,25
11,-1
38,0
8,-2
-2,0
-1,-6
-10,-5
-7,-5
-14,6
39,10
16,0
33,-6
21,-7
4,-3
40,-1
2,-5
-1,3
28,1
2,9
10,-2
16,29
42,2
14,-3
1,-4
28,-5
-13,-3
10,-6
5,-5
10,-1
11,14
11,-3
95,93
-3,-2
52,32
7,-1
-13,-7
6,7
4,-1
11,12
23,7
66,55
1,-7
-1,-3
19,-8
19,-3
-11,5
57,62
-14,-7
-22,9
30,25
6,-6
0,-13
-1,-4
3,3
18,12
-6,-1
45,28
-7,-2
11,19
-2,8
-1,-7
23,-8
-14,-7
9,-5
-12,-7
25,31
-19,-2
-4,-8
34,37
16,-3
20,21
-1,8
7,9
-12,-3
7,18
3,16
15,0
2,5
89,69
-17,-4
14,-1
9,3
5,-3
15,25
-9,0
-1,0
1,5
-5,-7
7,0
50,54
22,15
3,5
12,9
0,-3
5,1
3,2
52,38
-3,3
10,20
35,46
3,1
26,32
1,-4
-6,-5
-11,-7
-9,-3
0,3
23,15
13,-4
11,12
17,8
114,108
-15,12
27,0
17,-8
15,17
15,18
76,89
146,153
11,17
11,14
46,37
6,-9
-5,6
25,46
13,19
-14,-6
15,23
31,13
33,59
7,3
-8,-2
18,5
-1,25
-7,-1
3,-7
6,6
0,4
-7,11
2,-3
-12,0
-14,-1
1,3
37,28
0,3
28,0
45,34
-8,-10
-1,-6
65,66
3,0
14,24
17,27
21,-4
18,-4
-7,-7
7,-2
-20,-13
-6,-2
27,12
77,56
69,61
5,-8
9,11
0,8
66,11
-8,-8
40,-2
-7,-2
25,32
3,10
98,102
9,-9
6,-4
19,-5
7,-10
7,-5
18,-3
13,0
-3,-10
-9,0
-1,-5
16,13
47,37
217,116
-13,-3
-12,-9
-24,-6
-11,-2
9,7
-7,7
49,-6
-3,9
5,-3
2,-11
-8,-5
-4,-4
-7,0
3,-2
-7,-4
-1,-3
-13,-8
52,-10
-9,0
-13,-6
3,3
-3,-3
10,-3
-5,-13
-5,-6
-14,-5
1,-1
-15,-6
-17,-5
-1,-9
-11,-8
-25,-8
-12,-1
14,6
-12,0
29,-1
-26,-4
97,17
14,31
-7,-1
-15,0
-3,-2
2,-5
-11,-3
1,-2
-7,-4
15,7
-21,0
-10,-9
47,0
0,-1
-5,-7
126,-3
13,20
-19,0
1,23
106,-6
-6,-10
-13,-6
-9,1
-5,-5
-7,-4
58,-4
-18,-7
47,-3
215,209
-16,-4
-13,-5
-6,7
-21,-7
0,-3
6,29
-3,9
1,-5
-10,1
-8,-1
-10,2
166,62
-5,-1
17,17
-11,-1
-12,-13
106,6
-19,-2
2,10
-4,-5
5,10
-25,-2
40,37
-6,-4
59,23
7,-9
-26,-6
27,53
7,9
46,56
3,-1
90,88
184,169
41,43
0,-2
6,0
-14,-4
11,5
-19,-3
3,5
-8,-1
-10,3
5,-3
22,43
69,74
12,15
-7,2
46,18
3,-5
15,-2
29,0
-7,-9
284,216
19,-7
1,0
42,44
-1,20
8,-4
0,-7
8,12
2,-1
21,10
1,-2
2,-10
169,142
176,107
-16,-2
-9,-2
-15,-4
-12,-5
-13,-6
-8,1
3,-1
8,20
173,109
45,-3
-9,-1
7,0
35,10
128,66
86,66
80,26
89,66
6,-6
30,0
151,88
50,35
282,241
68,8
13,8
23,1
31,3
21,1
99,88
110,76
23,3
87,58
8,2
19,-5
4,-1
37,9
96,68
13,-9
42,19
36,9
19,-2
25,7
63,48
88,26
103,85
25,11
9,3
52,23
30,16
119,101
3,0
55,41
43,-10
46,38
11,-2
73,68
10,-5
35,17
32,13
108,59
9,11
90,43
52,46
177,152
117,99
167,149
27,22
34,19
184,146
77,49
27,3
156,120
69,42
4,-4
1,-5
227,197
63,50
184,134
66,32
20,8
6,-7
179,161
16,0
15,2
62,31
27,4
17,2
30,7
3,8
35,2
39,27
50,29
108,94
81,49
225,163
18,28
51,41
124,94
18,-4
53,5
65,50
42,41
101,97
34,6
47,15
153,137
154,110
66,43
11,10
70,47
51,13
33,20
160,91
74,50
59,32
27,5
54,46
206,152
121,93
74,43
125,100
45,29
77,65
99,60
91,80
111,91
97,82
85,93
19,-1
86,90
54,36
134,106
90,104
156,107
68,72
63,68
105,112
38,-1
66,77
179,167
138,141
107,72
93,71
78,68
146,148
17,21
66,78
79,77
16,-4
200,207
16,-3
22,12
53,51
92,96
45,-1
6,8
135,146
49,58
1,-6
12,-7
20,-9
6,-6
81,85
5,-3
-2,-8
37,-7
-28,-5
4,-1
30,-2
14,-7
15,-4
-3,-4
-11,-7
7,9
-4,-3
-1,-4
-16,1
4,0
1,1
-2,-3
13,11
2,-1
1,-5
17,-2
15,-13
8,-2
33,-2
-2,-5
59,51
33,4
13,13
-1,-6
21,-4
-6,-2
4,0
5,0
-24,-8
1,0
-13,2
-4,-5
36,-7
-17,-7
-24,-1
32,23
9,0
-15,-5
13,-4
10,-4
2,0
58,47
-21,-4
2,3
28,32
1,6
25,13
-15,-7
41,-8
-4,0
-9,-4
-3,-7
27,-2
12,-4
-5,-4
22,-4
-7,-8
36,5
1,-4
0,4
-6,-1
-13,-3
21,8
17,14
21,12
-26,-5
-10,-1
-8,-2
42,40
-20,-2
6,-2
-17,-2
37,-8
-18,-4
1,-10
-1,-2
15,-5
14,-4
11,-5
-6,-7
19,-6
50,8
3,-4
20,-4
17,-2
-15,-7
-2,-9
-29,-3
17,31
37,42
68,-5
17,0
-16,2
-12,-7
15,-6
30,34
35,-1
17,0
-6,-7
-21,-4
-6,-3
-8,-7
5,39
17,5
