DEPARTURE_DELAY,ARRIVAL_DELAY
-4,-10
-5,2
-4,-21
-3,-21
6,-9
-2,-13
-9,-6
2,-19
-4,-10
-4,-26
-3,-11
3,-5
-4,-8
0,2
-2,-22
-6,-21
-8,-23
9,13
-4,-3
-5,-17
-7,-24
-4,-20
-2,-13
-5,-11
19,2
-3,-12
-5,2
1,-16
-4,-16
0,13
-7,10
-1,5
-10,-37
-3,-7
133,131
-4,-10
0,-6
-2,-19
-5,-1
9,-27
-2,-27
-4,-25
0,4
1,-13
-6,-22
-7,-4
-6,11
9,-10
-3,-4
-5,-2
-6,2
-8,-19
-1,-1
-4,4
2,27
4,11
-1,-8
8,4
-5,-27
-6,-21
-3,-15
-2,-15
7,28
-3,7
38,37
-5,-20
-5,51
-6,-5
14,3
-7,-28
-6,-5
-1,-7
2,-11
3,1
-2,-14
3,-16
-4,14
-10,-16
-12,-30
47,29
-1,-5
-8,-12
4,2
4,14
-8,-14
-8,-4
-1,-30
-10,-18
-8,2
88,99
-4,-16
-3,-4
0,-34
-6,-18
-1,-10
175,192
-4,-14
-1,-12
-3,-14
5,-4
17,-5
8,-3
-1,1
1,-15
-4,10
-6,-15
-5,-9
-3,17
10,16
-2,-9
-6,-15
-8,-21
-2,13
-6,-8
6,-4
-3,12
-2,-7
0,23
-3,3
-7,2
-2,-15
-5,-21
-1,-2
0,-6
-8,-16
1190,1201
24,28
-1,-20
1,6
-1,-22
5,-7
-6,-10
-14,-8
-10,-26
152,143
-4,-11
3,-10
-6,-17
-6,-6
-2,-19
1,-2
2,1
-3,-21
-10,-11
-4,27
0,-19
-1,8
13,17
-10,-21
0,-22
-11,-17
-6,-16
-2,-5
73,59
7,0
-1,-5
-4,-13
-2,-8
-2,4
-6,10
7,19
4,15
-4,-4
4,30
-3,-11
18,13
7,14
94,90
-6,-16
-8,-6
0,18
3,31
10,3
7,10
-6,-9
-5,3
1,-4
68,53
-10,7
-5,-18
4,14
-4,3
53,53
0,6
