Date,average_price,small_hass_volume,large_hass_volume,extra_l_hass_volume,type,yr,region,wk
2015-12-27,1.33,1036.74,54454.85,48.16,conventional,2015,Albany,52
2015-12-20,1.35,674.28,44638.81,58.33,conventional,2015,Albany,51
2015-12-13,0.93,794.7,109149.67,130.5,conventional,2015,Albany,50
2015-12-06,1.08,1132,71976.41,72.58,conventional,2015,Albany,49
2015-11-29,1.28,941.48,43838.39,75.78,conventional,2015,Albany,48
2015-11-22,1.26,1184.27,48067.99,43.61,conventional,2015,Albany,47
2015-11-15,0.99,1368.92,73672.72,93.26,conventional,2015,Albany,46
2015-11-08,0.98,703.75,101815.36,80,conventional,2015,Albany,45
2015-11-01,1.02,1022.15,87315.57,85.34,conventional,2015,Albany,44
2015-10-25,1.07,842.4,64757.44,113,conventional,2015,Albany,43
2015-10-18,1.12,924.86,75595.85,117.07,conventional,2015,Albany,42
2015-10-11,1.28,1582.03,52677.92,105.32,conventional,2015,Albany,41
2015-10-04,1.31,2268.32,49880.67,101.36,conventional,2015,Albany,40
2015-09-27,0.99,1204.88,99409.21,154.84,conventional,2015,Albany,39
2015-09-20,1.33,1028.03,59313.12,150.5,conventional,2015,Albany,38
2015-09-13,1.28,985.73,65696.86,142,conventional,2015,Albany,37
2015-09-06,1.11,879.45,90062.62,240.79,conventional,2015,Albany,36
2015-08-30,1.07,689.01,94362.67,335.43,conventional,2015,Albany,35
2015-08-23,1.34,733.16,67933.79,444.78,conventional,2015,Albany,34
2015-08-16,1.33,539.65,68666.01,394.9,conventional,2015,Albany,33
2015-08-09,1.12,584.63,100961.46,368.95,conventional,2015,Albany,32
2015-08-02,1.45,509.94,62035.06,741.08,conventional,2015,Albany,31
2015-07-26,1.11,648.75,91949.05,966.61,conventional,2015,Albany,30
2015-07-19,1.26,1042.1,82049.4,2238.02,conventional,2015,Albany,29
2015-07-12,1.05,672.25,94693.52,4257.64,conventional,2015,Albany,28
2015-07-05,1.35,869.45,72600.55,5883.16,conventional,2015,Albany,27
2015-06-28,1.37,664.23,57545.79,4662.71,conventional,2015,Albany,26
2015-06-21,1.27,804.01,76688.55,5481.18,conventional,2015,Albany,25
2015-06-14,1.32,850.58,55400.94,4377.19,conventional,2015,Albany,24
2015-06-07,1.07,656.71,99220.82,90.32,conventional,2015,Albany,23
2015-05-31,1.23,922.37,70469.69,50.55,conventional,2015,Albany,22
2015-05-24,1.19,680.27,71376.81,58.7,conventional,2015,Albany,21
2015-05-17,1.43,1150.55,81955.16,94.32,conventional,2015,Albany,20
2015-05-10,1.26,1420.43,102000.52,185.66,conventional,2015,Albany,19
2015-05-03,1.2,919.87,45490.05,217.24,conventional,2015,Albany,18
2015-04-26,1.22,875.65,35841.75,89.62,conventional,2015,Albany,17
2015-04-19,1.19,774.15,33941.51,47.15,conventional,2015,Albany,16
2015-04-12,1.13,864.27,30374.15,21.5,conventional,2015,Albany,15
2015-04-05,1.16,961.77,35577.66,93.76,conventional,2015,Albany,14
2015-03-29,1.02,1402.28,58623.22,89.5,conventional,2015,Albany,13
2015-03-22,1.12,2141.83,34313.56,141.8,conventional,2015,Albany,12
2015-03-15,1.11,2128.26,30447.17,99.67,conventional,2015,Albany,11
2015-03-08,1.07,795.68,30370.64,159.05,conventional,2015,Albany,10
2015-03-01,0.99,629.46,45633.34,181.49,conventional,2015,Albany,9
2015-02-22,1.07,1088.38,35056.13,151,conventional,2015,Albany,8
2015-02-15,1.06,986.66,30045.51,222.42,conventional,2015,Albany,7
2015-02-08,0.99,1357.37,39111.81,163.25,conventional,2015,Albany,6
2015-02-01,0.99,1353.9,60017.2,179.32,conventional,2015,Albany,5
2015-01-25,1.06,941.38,33196.16,164.14,conventional,2015,Albany,4
2015-01-18,1.17,914.14,31540.32,135.77,conventional,2015,Albany,3
2015-01-11,1.24,1002.85,31640.34,127.12,conventional,2015,Albany,2
2015-01-04,1.22,2819.5,28287.42,49.9,conventional,2015,Albany,1
2015-12-27,0.99,292097.36,27350.92,297.9,conventional,2015,Atlanta,52
2015-12-20,1.08,251774.15,20702.45,103.06,conventional,2015,Atlanta,51
2015-12-13,0.96,324932.28,31019.08,275.8,conventional,2015,Atlanta,50
2015-12-06,1.07,283024.01,23740.85,181.92,conventional,2015,Atlanta,49
2015-11-29,0.99,250288.65,28889.63,307.83,conventional,2015,Atlanta,48
2015-11-22,1,269799.03,29732.3,501.16,conventional,2015,Atlanta,47
2015-11-15,1.13,263915.78,28442.45,455.97,conventional,2015,Atlanta,46
2015-11-08,1.12,250441.38,34483.33,488.24,conventional,2015,Atlanta,45
2015-11-01,0.99,290457.5,62980.07,252.79,conventional,2015,Atlanta,44
2015-10-25,1.09,236814.29,64607.97,304.36,conventional,2015,Atlanta,43
2015-10-18,1.09,228710.28,59731.79,291.22,conventional,2015,Atlanta,42
2015-10-11,0.95,255933.32,91047.32,599.71,conventional,2015,Atlanta,41
2015-10-04,0.96,265797.09,92780.33,644.43,conventional,2015,Atlanta,40
2015-09-27,1.07,262107.44,61870.63,680.8,conventional,2015,Atlanta,39
2015-09-20,0.93,346118.51,82762.72,1349.41,conventional,2015,Atlanta,38
2015-09-13,1.07,278048.26,62485.97,714.93,conventional,2015,Atlanta,37
2015-09-06,0.97,303113.24,73675.85,911.25,conventional,2015,Atlanta,36
2015-08-30,1.15,275818.27,44839.12,1034.09,conventional,2015,Atlanta,35
2015-08-23,1.12,274462.42,46223.69,950.09,conventional,2015,Atlanta,34
2015-08-16,1.09,362579.51,41992.44,1424.96,conventional,2015,Atlanta,33
2015-08-09,1.01,385027.71,47040.07,4251.74,conventional,2015,Atlanta,32
2015-08-02,1.15,306587.86,41906.78,3515.48,conventional,2015,Atlanta,31
2015-07-26,1.08,335372.02,44087.07,708,conventional,2015,Atlanta,30
2015-07-19,0.97,446100.17,47838.42,1982.03,conventional,2015,Atlanta,29
2015-07-12,1.14,310080.33,37953.24,867.46,conventional,2015,Atlanta,28
2015-07-05,1.01,436377.91,54675.38,848.55,conventional,2015,Atlanta,27
2015-06-28,1.13,331353.43,37698.53,816.56,conventional,2015,Atlanta,26
2015-06-21,0.99,449311.47,30231.78,678.4,conventional,2015,Atlanta,25
2015-06-14,1.1,386370.5,17701.12,471.72,conventional,2015,Atlanta,24
2015-06-07,0.99,455565.92,22414.17,738.68,conventional,2015,Atlanta,23
2015-05-31,1.1,382900.99,19543.18,522.81,conventional,2015,Atlanta,22
2015-05-24,0.96,538126.94,27284.43,1260.8,conventional,2015,Atlanta,21
2015-05-17,1.11,386400.89,18618.84,838.68,conventional,2015,Atlanta,20
2015-05-10,1.1,413452.96,18860.63,1089.33,conventional,2015,Atlanta,19
2015-05-03,1,538403.48,28568.26,1059.73,conventional,2015,Atlanta,18
2015-04-26,1.12,387676.81,18366.33,1041.78,conventional,2015,Atlanta,17
2015-04-19,1.12,368709.65,18040.85,873.24,conventional,2015,Atlanta,16
2015-04-12,0.99,377578.48,22419.95,219.14,conventional,2015,Atlanta,15
2015-04-05,1.04,318473.47,19254.39,374.51,conventional,2015,Atlanta,14
2015-03-29,1.11,305028.89,16651.99,261.01,conventional,2015,Atlanta,13
2015-03-22,1,393591.03,23419.6,304.89,conventional,2015,Atlanta,12
2015-03-15,1.12,336172.08,16508.21,310.7,conventional,2015,Atlanta,11
2015-03-08,1.1,361559.22,15788.71,236.97,conventional,2015,Atlanta,10
2015-03-01,0.99,441544,21183.7,347.78,conventional,2015,Atlanta,9
2015-02-22,1.1,369316.29,18324.76,237.47,conventional,2015,Atlanta,8
2015-02-15,1.06,364446.77,17420.41,638.18,conventional,2015,Atlanta,7
2015-02-08,1.03,377256.38,17162.5,524.85,conventional,2015,Atlanta,6
2015-02-01,0.96,553198.56,31583.38,294.94,conventional,2015,Atlanta,5
2015-01-25,1.1,393408.17,18718.27,594.25,conventional,2015,Atlanta,4
2015-01-18,1.11,372236.92,18701.9,511.69,conventional,2015,Atlanta,3
2015-01-11,1.11,330411.24,18958.22,1135.18,conventional,2015,Atlanta,2
2015-01-04,1,364302.39,23821.16,82.15,conventional,2015,Atlanta,1
2015-12-27,1.17,40450.49,394104.02,17353.79,conventional,2015,BaltimoreWashington,52
2015-12-20,1.11,44741.37,434590.82,19112.14,conventional,2015,BaltimoreWashington,51
2015-12-13,1.15,44400.26,399851.59,24291.2,conventional,2015,BaltimoreWashington,50
2015-12-06,1.04,51129.29,453586.5,25760.49,conventional,2015,BaltimoreWashington,49
2015-11-29,1.16,41028.15,379156.09,20147.53,conventional,2015,BaltimoreWashington,48
2015-11-22,1.12,40867.8,386137.78,23343.49,conventional,2015,BaltimoreWashington,47
2015-11-15,1.04,47109.75,503470.08,37990.29,conventional,2015,BaltimoreWashington,46
2015-11-08,1.05,58579.27,576512.71,51035.04,conventional,2015,BaltimoreWashington,45
2015-11-01,1.12,51860.07,473819.14,58615.76,conventional,2015,BaltimoreWashington,44
2015-10-25,1.19,53766.25,397911.35,49085.74,conventional,2015,BaltimoreWashington,43
2015-10-18,0.99,59121.55,745385.26,49171.33,conventional,2015,BaltimoreWashington,42
2015-10-11,1.24,34707.02,392008.6,58490.1,conventional,2015,BaltimoreWashington,41
2015-10-04,1.28,35342.34,407609.95,42257.73,conventional,2015,BaltimoreWashington,40
2015-09-27,1.19,34309.05,451061.03,59018.61,conventional,2015,BaltimoreWashington,39
2015-09-20,1.17,39619.87,450283.01,45336.12,conventional,2015,BaltimoreWashington,38
2015-09-13,1.09,55699.25,675524.33,42270.47,conventional,2015,BaltimoreWashington,37
2015-09-06,1.18,63903.73,522568.44,68180.35,conventional,2015,BaltimoreWashington,36
2015-08-30,1.24,48455.25,458207.46,42754.34,conventional,2015,BaltimoreWashington,35
2015-08-23,1.16,59242.02,499100.39,47216.18,conventional,2015,BaltimoreWashington,34
2015-08-16,1.14,86492.03,597184.73,43102.61,conventional,2015,BaltimoreWashington,33
2015-08-09,1.16,56362.75,557363.94,42933.87,conventional,2015,BaltimoreWashington,32
2015-08-02,1.17,53957.63,535167.1,44749.58,conventional,2015,BaltimoreWashington,31
2015-07-26,1.2,52746.41,496508.65,45010.81,conventional,2015,BaltimoreWashington,30
2015-07-19,1.18,52954.94,496206.47,50319.84,conventional,2015,BaltimoreWashington,29
2015-07-12,1.1,58827.99,547537.41,50679.01,conventional,2015,BaltimoreWashington,28
2015-07-05,1.16,66504.67,567640.7,56044.51,conventional,2015,BaltimoreWashington,27
