age,bmi,female,footwear,group,injury,mf_d,mf_di,mf_ti,max,sprint,mf_s,time_hrs
35,23.5923233,0,2,1,2,42195,4,10295,60,1,4.098591549295775,2.8597222222222225
33,22.51829529,0,2,2,2,42195,3,12292,50,0,3.432720468597462,3.4144444444444444
38,25.56031227,0,2,3,1,42195,4,10980,65,0,3.842896174863388,3.05
34,22.60793114,0,2,1,1,42195,3,10694,88,1,3.945670469422106,2.9705555555555554
39,24.97483635,0,2,1,1,42195,2,13452,51,0,3.136708296164139,3.7366666666666664
33,24.30183029,1,2,2,1,42195,3,14940,40,0,2.82429718875502,4.15
34,24.57002449,0,1,3,1,42195,3,10747,75,1,3.926211966130083,2.9852777777777777
53,23.16774559,0,2,1,1,42195,3,10875,45,1,3.88,3.0208333333333335
34,23.58257103,1,2,2,1,42195,3,16580,39,0,2.5449336550060315,4.605555555555555
44,20.03506279,1,2,3,1,42195,2,15440,45,1,2.732836787564767,4.288888888888889
27,29.88360977,0,1,1,1,42195,4,14430,28,1,2.924116424116424,4.008333333333334
27,21.38561058,0,2,2,1,42195,2,9475,110,1,4.453298153034301,2.631944444444444
39,29.73737335,0,2,1,2,42195,4,13113,52,0,3.2177991306337224,3.6425
32,29.21779823,1,2,3,1,42195,2,17190,55,0,2.4546247818499127,4.775
24,21.70493698,1,2,3,2,42195,2,12701,50,1,3.322179355956224,3.5280555555555555
35,30.05259323,1,2,1,3,42195,3,22139,30,0,1.9059126428474638,6.1497222222222225
63,24.48979568,0,2,2,2,42195,2,15172,30,0,2.7811099393619827,4.214444444444444
47,24.55106735,0,2,3,2,42195,2,14416,52,1,2.9269561598224194,4.004444444444444
28,18.86635017,1,2,3,1,42195,2,11707,62,0,3.6042538652088494,3.2519444444444447
42,25.10309982,0,2,2,1,42195,3,14813,30,0,2.848511442651725,4.114722222222222
58,26.4293766,0,1,3,1,42195,2,14071,70,0,2.9987207732215193,3.9086111111111115
33,21.75764084,1,2,3,2,42195,3,13337,120,0,3.1637549673839693,3.7047222222222222
33,22.51829529,0,1,3,1,42195,3,9508,135,1,4.437841817416912,2.641111111111111
24,22.53944397,1,2,2,1,42195,4,15420,30,0,2.7363813229571985,4.283333333333333
47,22.49134827,0,2,1,1,42195,4,12312,40,1,3.4271442495126707,3.42
26,25.25252533,1,2,1,2,42195,2,16899,34,1,2.4968933072962898,4.694166666666666
52,23.80480194,0,1,1,1,42195,4,13257,40,1,3.182846797918081,3.6824999999999997
33,28.2003727,1,2,2,1,42195,3,18484,15,0,2.2827851114477387,5.134444444444444
50,19.17613602,1,2,2,1,42195,2,10718,80,1,3.936835230453443,2.977222222222222
27,20.77414703,1,2,2,1,42195,2,12095,70,1,3.488631665977677,3.3597222222222225
47,25.24751663,0,3,1,1,42195,2,10757,60,1,3.9225620526169007,2.9880555555555555
28,20.91324425,1,1,1,1,42195,2,10888,86,1,3.875367376928729,3.0244444444444443
37,27.4961338,0,2,3,1,42195,2,14700,42,0,2.870408163265306,4.083333333333333
31,22.53840446,0,1,2,2,42195,3,12323,45,1,3.424085044226244,3.4230555555555555
31,24.52615929,0,1,3,1,42195,2,10778,7,0,3.914919280014845,2.993888888888889
25,24.95965385,1,1,2,1,42195,3,14985,45,1,2.815815815815816,4.1625
28,19.92750168,1,2,3,3,42195,2,12151,55,0,3.4725536992840094,3.375277777777778
43,25.24778557,0,2,2,1,42195,3,17400,36,0,2.425,4.833333333333333
26,19.86567116,1,2,2,1,42195,2,10461,94,1,4.033553197591052,2.9058333333333333
30,20.57555008,1,2,2,1,42195,4,12719,72,1,3.317477789134366,3.5330555555555554
36,24.34137344,0,2,3,1,42195,3,13530,51,1,3.1186252771618626,3.7583333333333333
34,27.51718903,0,2,2,1,42195,3,14939,43,0,2.824486244059174,4.149722222222222
40,28.44444466,0,2,1,1,42195,4,11611,82,1,3.6340539143915254,3.225277777777778
38,23.37423897,1,2,2,2,42195,3,13690,35,0,3.0821767713659605,3.8027777777777776
37,23.84960938,0,2,3,1,42195,3,12566,42,1,3.3578704440553877,3.4905555555555554
40,21.5213356,0,2,2,1,42195,3,10698,70,1,3.9441951766685364,2.9716666666666667
33,21.3521862,0,2,1,1,42195,3,13040,40,1,3.235812883435583,3.6222222222222222
54,21.70465088,0,2,1,1,42195,4,12641,52,0,3.3379479471560796,3.511388888888889
38,23.80480194,0,1,3,1,42195,3,13860,50,0,3.044372294372294,3.85
29,18.63140297,1,2,3,1,42195,4,13632,51,1,3.0952904929577465,3.7866666666666666
31,24.37873268,0,1,3,1,42195,3,15420,34,1,2.7363813229571985,4.283333333333333
48,28.05836296,0,2,2,1,42195,3,18300,30,0,2.305737704918033,5.083333333333333
34,20.19801331,0,2,1,1,42195,3,11453,70,1,3.6841875491137692,3.181388888888889
44,25.20478821,0,2,2,1,42195,4,13458,55,1,3.135309852875613,3.7383333333333337
64,24.81470108,0,2,1,1,42195,3,14807,60,1,2.849665698656041,4.1130555555555555
55,25.11189079,0,2,1,1,42195,3,14188,50,1,2.973992106005075,3.9411111111111112
28,19.66026878,0,2,1,2,42195,4,10080,70,0,4.186011904761905,2.8
36,22.60793114,0,1,2,1,42195,3,10040,70,1,4.202689243027889,2.788888888888889
29,27.19741821,1,2,1,2,42195,3,17341,44,0,2.4332506775849145,4.816944444444444
28,24.34137344,0,2,3,2,42195,3,13840,35,1,3.048771676300578,3.844444444444444
36,22.857143399999998,0,1,1,2,42195,4,10652,60,1,3.961227938415321,2.9588888888888887
39,23.37423897,1,2,1,1,42195,3,13148,40,1,3.209233343474293,3.652222222222222
27,20.20201874,1,2,2,2,42195,2,14100,50,1,2.9925531914893617,3.9166666666666665
31,22.80591202,1,1,2,2,42195,3,15060,35,0,2.801792828685259,4.183333333333334
34,23.80480194,1,2,2,1,42195,2,16050,35,1,2.6289719626168226,4.458333333333333
60,23.87511635,0,2,1,1,42195,3,13767,42,0,3.0649378949662234,3.8241666666666663
27,24.38188744,0,2,2,2,42195,3,15120,55,0,2.7906746031746033,4.2
30,21.38588142,0,2,3,1,42195,2,10211,70,1,4.132308294976006,2.836388888888889
60,24.37873268,0,2,1,1,42195,4,12480,55,1,3.3810096153846154,3.466666666666667
38,22.37248611,1,2,1,2,42195,3,12420,60,1,3.3973429951690823,3.45
35,28.25022507,0,1,1,1,42195,4,13147,52,0,3.2094774473263863,3.6519444444444447
43,22.80591202,0,2,1,1,42195,3,11107,63,1,3.7989556135770237,3.085277777777778
33,25.11189079,0,1,3,1,42195,4,11056,58,1,3.8164797395079595,3.071111111111111
49,22.13814735,0,2,1,1,42195,2,14570,60,1,2.89601921757035,4.0472222222222225
25,22.35768318,0,2,2,2,42195,2,9301,80,0,4.536608966777766,2.5836111111111113
28,20.77922058,1,2,3,1,42195,2,10691,85,1,3.9467776634552427,2.9697222222222224
39,21.70493698,1,2,2,1,42195,4,15971,38,0,2.641976081647987,4.436388888888889
23,22.80591202,0,2,2,1,42195,3,10353,70,0,4.07563025210084,2.8758333333333335
47,24.48979568,0,2,1,1,42195,3,12111,55,1,3.484022789199901,3.3641666666666667
32,29.34202003,0,2,1,1,42195,4,12600,38,1,3.348809523809524,3.5
31,23.30241394,1,2,3,3,42195,3,12123,50,1,3.4805741153179905,3.3675
43,25.23407936,0,2,2,1,42195,2,13800,52,1,3.0576086956521737,3.8333333333333335
38,20.41903305,1,2,3,2,42195,2,13120,62,1,3.216082317073171,3.6444444444444444
36,22.91344261,0,2,2,2,42195,2,12423,55,0,3.396522579087177,3.4508333333333336
43,19.64085388,0,2,3,1,42195,2,11622,57,0,3.6306143520908623,3.228333333333333
35,25.16514397,1,3,2,1,42195,4,14453,35,1,2.9194630872483223,4.014722222222222
51,34.34582138,0,2,2,1,42195,3,18960,45,0,2.225474683544304,5.266666666666667
28,23.47361565,0,2,1,1,42195,2,11010,72,1,3.832425068119891,3.058333333333333
39,22.84348106,0,2,1,1,42195,2,11148,40,1,3.784983853606028,3.0966666666666667
31,20.3689785,1,1,2,1,42195,3,15009,41,0,2.8113132120727564,4.1691666666666665
54,21.2900238,0,2,1,2,42195,2,10081,100,1,4.185596666997322,2.800277777777778
